Set,Price_Euro,Pieces,Minifigs
Sweet Mayhem's Disco Pod,8.76,28,1 (1 unique to this set)
TLM2 Tumbler with Straw,7.99,NaN,
TLM2 Hydration Bottle,12.99,NaN,
TLM2 Notebook,12.99,NaN,
Emmet Plush,24.99,NaN,
Lucy Plush,24.36,NaN,
Friends Creative Bag Charms,5.99,NaN,
Stephanie Key Chain,4.99,NaN,
Olivia Key Chain,4.99,NaN,
Friends Phone Cover,24.99,NaN,
Friends Tumbler with Straw,7.79,NaN,
Cookie Cutters,9.74,NaN,
LEGO Friends Ceramic Mug,14.99,NaN,
LEGO Friends Hair Accessory Set,9.99,NaN,
Jay Keyring,4.86,NaN,
Nya Keyring,4.86,NaN,
Lloyd's Kendo Training Pod,8.99,25,1
4 4x4 Magnets,7.79,NaN,
NINJAGO Tumbler with Straw,7.99,NaN,
Creative Bag Charm,5.99,NaN,
Brick Suit Guy Key Chain,4.86,NaN,
Cactus Boy Key Chain,5.99,NaN,
Elephant Girl Key Chain,4.99,NaN,
LEGO Greeting Card,4.99,40,1 (1 unique to this set)
LEGO Toy Soldier Ornament,7.99,43,
Drinking cup,NaN,NaN,
LEGO® Minifigure Ceramic Mug,14.99,NaN,
LEGO Brick Ice Cube Tray,9.74,NaN,
Ice Lollipop Tray,NaN,NaN,
LEGO Key Hanger,9.74,NaN,
London Bus Magnet,9.99,NaN,
4 4x4 Magnets,7.79,NaN,
Creative Stationery Set,16.99,NaN,
City Firefighter Key Chain,4.99,NaN,
City Police Vest,NaN,NaN,
LEGO DUPLO Tableware,14.61,NaN,
Brick Stickers,5.99,17,
Creative Rings,NaN,43,
Stormtrooper Keyring,5.99,NaN,
Luke Skywalker Key Chain,4.99,NaN,
Princess Leia Key Chain,4.99,NaN,
Kylo Ren Key Chain,4.86,NaN,
Spider Man Key Chain,5.99,NaN,
Batman Key Chain,5.99,NaN,
Superman Key Chain,5.99,NaN,
